CODE,ROCHE
V3,Roches volcaniques mafiques

V3F,Basalte magnésien (>9 % MgO)

V3G,Trachyandésite basaltique

V3J,Boninite

V3HP,Basanite phonolitique

V3GS,Shoshonite

V3A,Basalte andésitique/andésite basaltique

V3H,Basanite

V3I,Téphrite

V3GM,Mugéarite

V3E,Basalte à olivine

V3DH,Hawaiite

V4,Roches volcaniques ultramafiques/ultrabasiques

V4I,Foïdite

V4IP,Foïdite phonolitique

V4A,Komatiite (>18 % MgO)

V4E,Méiméchite

V4H,Picrite

V4B,Komatiite pyroxénitique

V4G,Picrobasalte

V4D,Komatiite dunitique

V4M,Roche volcanique ultramafique à mélilite

V4F,Mélilitite

V4FO,Mélilitite à olivine

V4IT,Foïdite téphritique

V4C,Komatiite péridotitique

V4IN,Néphélinite

V,Roches volcaniques

XXXX,Incertain


